415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
149,136,147,176,247,910,3507,3432,4461,442,59,99,0.30,99
150,135,147,176,249,914,3515,3435,4474,444,59,99,0.30,99
149,135,147,177,250,918,3518,3437,4477,446,59,99,0.30,99
149,135,147,177,251,919,3525,3442,4472,442,58,99,0.30,99
149,136,148,178,252,924,3541,3461,4497,458,58,99,0.30,99
149,136,148,179,249,914,3515,3453,4472,456,58,99,0.30,99
149,135,147,176,246,905,3496,3424,4455,440,58,99,0.30,99
149,135,147,175,247,906,3497,3421,4452,441,58,99,0.30,99
149,136,147,176,247,904,3493,3422,4449,442,58,99,0.30,99
148,135,147,176,246,907,3502,3425,4457,441,58,99,0.30,99
149,135,147,176,246,912,3510,3432,4465,444,58,99,0.30,99
150,136,148,177,247,914,3515,3433,4471,444,58,99,0.30,99
150,136,148,177,248,916,3521,3438,4478,444,58,99,0.30,99
150,136,148,177,248,921,3529,3444,4488,444,58,99,0.30,99
150,136,148,178,251,925,3551,3481,4496,448,58,99,0.30,99
150,137,149,179,250,930,3545,3453,4494,448,58,99,0.30,99
150,136,148,179,252,931,3547,3455,4495,446,58,99,0.30,99
151,137,149,179,249,916,3523,3452,4478,444,58,99,0.30,99
149,136,147,178,248,914,3513,3431,4470,443,58,99,0.30,99
149,136,147,176,247,914,3513,3431,4467,445,58,99,0.30,99
150,136,146,176,248,910,3501,3428,4459,442,58,99,0.30,99
150,135,146,177,248,912,3513,3434,4462,458,58,99,0.30,99
150,135,147,177,249,916,3528,3464,4481,459,58,99,0.30,99
150,136,148,178,250,916,3521,3436,4478,445,58,99,0.30,99
150,136,148,177,248,920,3531,3440,4487,445,58,99,0.30,99
149,136,148,178,250,923,3533,3444,4481,445,58,99,0.30,99
150,137,148,179,252,921,3528,3441,4487,444,58,99,0.30,99
149,135,147,177,248,909,3499,3425,4452,442,58,99,0.30,99
149,136,147,177,246,908,3496,3423,4448,441,58,99,0.30,99
148,135,146,175,246,904,3494,3422,4449,442,58,99,0.30,99
149,134,146,175,245,904,3481,3417,4438,440,58,99,0.30,99
148,135,146,176,246,903,3483,3415,4440,439,58,99,0.30,99
149,135,147,176,247,905,3491,3417,4443,441,58,99,0.30,99
148,134,146,176,246,905,3488,3420,4448,441,58,99,0.30,99
148,135,146,176,247,908,3509,3453,4466,455,58,99,0.30,99
149,135,147,176,248,913,3503,3426,4456,442,58,99,0.30,99
149,136,147,177,248,912,3504,3423,4458,458,58,99,0.30,99
148,134,146,176,246,900,3488,3438,4437,441,58,99,0.30,99
148,135,146,175,244,897,3468,3404,4420,434,58,99,0.30,99
147,134,145,173,243,894,3463,3402,4416,436,58,99,0.30,99
147,135,145,173,242,893,3463,3402,4415,435,58,99,0.30,99
148,134,145,173,243,896,3470,3406,4416,437,58,99,0.30,99
148,134,145,173,244,900,3482,3419,4439,451,58,99,0.30,99
148,134,145,174,243,901,3485,3415,4433,440,58,99,0.30,99
148,134,146,174,245,905,3491,3420,4447,453,58,99,0.30,99
148,135,146,175,248,911,3503,3426,4457,444,58,99,0.30,99
150,135,147,176,247,915,3516,3432,4466,442,58,99,0.30,99
149,135,147,177,248,918,3520,3438,4468,445,58,99,0.30,99
149,136,148,178,250,926,3531,3439,4486,446,58,99,0.30,99
151,136,148,179,250,920,3518,3432,4471,445,58,99,0.30,99
148,136,147,176,246,907,3490,3415,4444,439,58,99,0.30,99
148,135,146,175,243,903,3487,3413,4432,439,58,99,0.30,99
150,135,146,175,244,901,3480,3408,4429,440,58,99,0.30,99
149,134,146,174,242,899,3476,3406,4427,437,58,99,0.30,99
149,134,145,174,241,900,3479,3403,4424,439,58,99,0.30,99
148,134,146,174,243,901,3480,3406,4432,438,58,99,0.30,99
148,134,145,174,242,901,3481,3409,4439,452,58,99,0.30,99
148,134,145,175,245,906,3511,3443,4449,441,58,99,0.30,99
150,136,147,175,244,908,3503,3435,4446,442,58,99,0.30,99
149,135,147,175,247,911,3500,3418,4454,441,58,99,0.30,99
149,134,146,176,246,915,3505,3423,4461,442,58,99,0.30,99
150,135,148,177,248,918,3525,3454,4472,444,58,99,0.30,99
149,136,147,177,249,923,3524,3431,4475,453,58,99,0.30,99
149,135,147,177,250,916,3518,3445,4467,457,58,99,0.30,99
150,135,147,176,246,908,3506,3439,4442,442,58,99,0.30,99
148,135,147,175,243,905,3484,3406,4439,449,58,99,0.30,99
148,134,146,175,244,908,3497,3425,4452,451,58,99,0.30,99
149,134,146,175,243,905,3503,3438,4446,451,58,99,0.30,99
148,135,146,174,243,909,3495,3413,4442,442,58,99,0.30,99
148,135,146,175,244,913,3516,3444,4464,455,58,99,0.30,99
148,135,145,175,245,913,3498,3415,4452,443,58,99,0.30,99
148,134,146,176,246,916,3520,3448,4468,457,58,99,0.30,99
150,136,147,177,247,919,3527,3450,4469,443,58,99,0.30,99
149,135,147,177,247,921,3518,3429,4473,445,58,99,0.30,99
149,136,147,177,248,926,3525,3432,4479,445,58,99,0.30,99
150,135,147,178,249,929,3534,3433,4482,445,58,99,0.30,99
149,135,147,178,248,918,3509,3419,4460,451,58,99,0.30,99
149,135,147,176,246,916,3513,3437,4472,456,58,99,0.30,99
149,136,148,177,247,917,3513,3427,4458,442,58,99,0.30,99
148,134,146,175,246,916,3517,3444,4465,456,57,99,0.30,99
150,136,147,176,246,918,3518,3448,4463,442,57,99,0.30,99
150,136,148,177,245,917,3510,3418,4460,442,57,99,0.30,99
149,136,147,177,247,918,3502,3418,4460,457,57,99,0.30,99
149,135,147,177,249,919,3517,3446,4466,458,57,99,0.30,99
149,136,148,178,248,920,3508,3418,4465,441,57,99,0.30,99
149,135,147,177,249,923,3528,3449,4481,460,57,99,0.30,99
149,135,147,178,248,914,3504,3434,4454,456,57,99,0.30,99
148,136,147,176,245,908,3498,3430,4434,442,57,99,0.30,99
148,134,146,175,246,908,3494,3428,4446,453,57,99,0.30,99
148,134,146,176,246,906,3490,3426,4435,446,57,99,0.30,99
148,135,146,175,245,903,3472,3393,4422,439,57,99,0.30,99
148,135,146,175,244,905,3472,3394,4423,439,57,99,0.30,99
147,134,146,175,244,906,3475,3393,4425,440,57,99,0.30,99
148,134,146,175,247,912,3491,3411,4451,450,57,99,0.30,99
148,134,147,176,247,914,3507,3435,4450,443,57,99,0.30,99
149,135,148,178,249,918,3499,3408,4456,443,57,99,0.30,99
150,135,147,178,245,910,3487,3411,4435,441,57,99,0.30,99
148,135,146,175,244,902,3462,3386,4415,437,57,99,0.30,99
147,134,146,174,242,899,3455,3382,4401,436,57,99,0.30,99
147,134,145,174,243,898,3451,3379,4402,436,57,99,0.30,99
8806640
