time,415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
87891,191,172,190,237,337,1363,4500,4227,4500,584,0,0,0.30,0
176758,192,172,191,239,336,1354,4500,4196,4500,582,0,0,0.30,0
264649,189,171,188,235,332,1337,4500,4181,4500,598,0,0,0.30,0
351563,189,171,189,233,330,1332,4500,4201,4500,576,0,0,0.30,0
439453,187,171,188,233,329,1337,4500,4193,4500,574,61,0,0.30,98
527344,189,170,188,232,326,1326,4500,4184,4500,574,61,0,0.30,98
615235,189,170,187,232,329,1329,4500,4187,4500,597,61,0,0.30,98
707031,188,170,188,232,328,1332,4500,4179,4500,576,61,0,0.30,98
794922,190,170,189,233,331,1343,4500,4209,4500,598,61,0,0.30,98
878906,188,170,188,233,332,1343,4500,4228,4500,602,61,0,0.30,98
966797,191,171,188,234,332,1347,4500,4198,4500,576,61,0,0.30,98
1054688,190,171,189,236,335,1353,4500,4212,4500,602,61,0,0.30,98
1138672,191,172,191,237,337,1363,4500,4245,4500,606,61,0,0.30,98
1226563,192,172,191,238,336,1362,4500,4209,4500,582,61,99,0.30,98
1315430,190,171,190,236,331,1340,4500,4175,4500,576,61,99,0.30,98
1408203,189,170,188,233,331,1334,4500,4173,4500,573,61,99,0.30,98
1496094,189,170,188,232,328,1331,4500,4181,4500,575,61,99,0.30,98
1584961,189,170,188,232,328,1328,4500,4172,4500,593,61,99,0.30,98
1673828,189,169,187,231,330,1330,4500,4217,4500,597,61,99,0.30,98
1760742,188,171,188,232,329,1328,4500,4171,4500,574,61,99,0.30,98
1849610,188,170,188,233,329,1333,4500,4172,4500,574,61,99,0.30,98
1936524,189,170,188,233,329,1336,4500,4172,4500,572,61,99,0.30,98
2023438,189,170,188,233,333,1342,4500,4218,4500,600,60,99,0.30,98
2116211,190,171,189,235,333,1347,4500,4189,4500,577,60,99,0.30,98
2204102,189,171,190,236,336,1351,4500,4236,4500,602,60,99,0.30,98
2291992,190,172,190,238,336,1348,4500,4207,4500,578,60,99,0.30,98
2375000,190,171,189,235,328,1326,4500,4169,4500,571,60,99,0.30,98
2462891,188,169,187,231,329,1329,4500,4227,4500,588,60,99,0.30,98
2551758,189,171,188,232,327,1320,4499,4176,4500,574,60,99,0.30,98
2635742,189,170,187,231,325,1322,4497,4180,4500,567,60,99,0.30,98
2727539,186,169,186,230,325,1320,4496,4169,4500,570,60,99,0.30,98
2816406,188,170,186,231,327,1322,4499,4171,4500,570,60,99,0.30,98
2904297,188,169,187,231,328,1322,4499,4164,4500,594,60,99,0.30,98
2992188,188,170,187,232,330,1329,4500,4209,4500,576,58,99,0.30,98
3080078,189,171,189,234,328,1332,4500,4176,4500,574,58,99,0.30,98
3167969,189,170,188,234,331,1338,4500,4181,4500,577,58,99,0.30,98
3255860,187,171,188,235,332,1342,4500,4186,4500,575,58,99,0.30,98
3344727,189,171,189,237,336,1347,4500,4188,4500,598,58,99,0.30,98
3436524,189,169,187,234,331,1329,4499,4183,4500,571,58,99,0.30,98
3525391,188,169,186,231,327,1320,4498,4160,4500,569,58,99,0.30,98
3609375,188,169,186,231,328,1320,4500,4180,4500,590,58,99,0.30,98
3697266,187,169,186,230,328,1318,4500,4169,4500,569,58,99,0.30,98
3785156,187,168,186,229,324,1311,4488,4149,4500,569,58,99,0.30,99
3869141,187,169,186,230,327,1316,4499,4184,4500,594,58,99,0.30,99
3957031,187,169,187,231,327,1321,4499,4169,4500,573,58,99,0.30,99
4044922,188,170,187,231,327,1324,4499,4174,4500,581,58,99,0.30,99
4132813,190,169,188,233,330,1328,4500,4170,4500,572,58,99,0.30,99
4220703,189,172,189,235,333,1341,4500,4201,4500,574,58,99,0.30,99
4308594,189,171,188,235,332,1339,4500,4179,4500,576,58,99,0.30,99
4396485,190,171,189,236,334,1347,4500,4186,4500,577,58,99,0.30,99
4484375,189,171,189,236,331,1329,4500,4172,4500,595,58,99,0.30,99
4572266,187,170,187,232,330,1320,4499,4202,4500,589,58,99,0.30,99
4660156,189,170,188,232,328,1318,4498,4169,4500,568,57,99,0.30,99
4751953,188,170,186,231,327,1312,4499,4181,4500,571,57,99,0.30,99
4839844,189,170,187,231,324,1309,4496,4155,4500,572,57,99,0.30,99
4927735,185,168,186,229,326,1313,4499,4159,4500,568,57,99,0.30,99
5015625,187,169,186,230,326,1316,4497,4161,4500,571,57,99,0.30,99
5104492,188,169,186,231,326,1315,4492,4155,4500,591,57,99,0.30,99
5192383,187,169,187,232,330,1321,4500,4208,4500,597,57,99,0.30,99
5279297,190,171,188,234,329,1324,4500,4168,4500,572,57,99,0.30,99
5368164,188,170,188,233,330,1332,4500,4174,4500,573,57,99,0.30,99
5459961,190,172,189,236,334,1342,4500,4184,4500,576,57,99,0.30,99
5547852,188,170,189,236,329,1326,4500,4162,4500,573,57,99,0.30,99
5631836,187,168,186,231,325,1308,4486,4149,4500,569,57,99,0.30,99
5719727,189,170,187,231,324,1305,4487,4139,4500,569,57,99,0.30,99
5807617,187,168,185,229,324,1305,4495,4149,4500,571,57,99,0.30,99
5895508,186,168,185,228,322,1301,4483,4148,4500,567,57,99,0.30,99
5984375,186,168,185,228,321,1300,4480,4143,4500,586,57,99,0.30,99
6073242,187,168,185,228,324,1310,4500,4179,4500,592,57,99,0.30,99
6165039,186,168,186,228,323,1307,4483,4142,4500,570,57,99,0.30,99
6252930,185,168,186,229,325,1314,4500,4188,4500,594,57,99,0.30,99
6341797,187,170,187,230,327,1317,4499,4190,4500,578,57,99,0.30,99
