time,415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
87890,166,159,194,439,609,1348,3571,3311,4500,584,0,0,0.00,0
179687,165,160,195,445,615,1357,3588,3319,4500,586,0,0,0.00,0
267578,167,160,195,447,614,1344,3555,3294,4500,581,0,0,0.00,0
355469,163,156,190,430,582,1291,3484,3254,4500,606,0,0,0.00,0
444336,162,156,188,416,569,1279,3495,3281,4500,605,0,0,0.00,0
532226,162,156,188,413,561,1273,3477,3255,4500,563,0,0,0.00,0
615234,161,154,186,408,559,1266,3470,3247,4500,563,0,0,0.00,0
707031,160,154,185,405,556,1267,3473,3250,4500,564,0,0,0.00,0
794922,160,154,185,406,559,1274,3500,3284,4500,608,0,0,0.00,0
877930,162,156,187,409,561,1280,3501,3278,4500,567,0,0,0.00,0
964844,162,156,187,411,566,1285,3502,3267,4500,608,0,0,0.00,0
1052734,162,156,188,414,569,1291,3520,3296,4500,573,0,0,0.00,0
1135742,163,157,189,418,576,1301,3522,3282,4500,574,0,0,0.00,0
1222656,164,158,190,421,582,1311,3549,3315,4500,576,0,0,0.00,0
1310547,164,158,191,425,587,1319,3548,3296,4500,577,0,0,0.00,0
1397461,165,159,193,430,594,1328,3555,3300,4500,580,0,0,0.00,0
1484375,163,157,190,427,577,1286,3483,3257,4500,607,0,0,0.00,0
1571289,161,155,186,409,554,1258,3460,3242,4500,560,0,0,0.00,0
1654297,160,154,184,403,551,1257,3463,3242,4500,562,0,0,0.00,0
1742187,161,155,185,403,547,1253,3457,3238,4500,557,0,0,0.00,0
1830078,159,153,184,399,543,1249,3455,3240,4500,557,0,0,0.00,0
1913086,160,153,184,398,547,1256,3461,3245,4500,561,0,0,0.00,0
2000976,162,155,185,402,552,1263,3473,3252,4500,566,0,0,0.00,0
2092773,161,155,186,406,558,1269,3491,3279,4500,568,0,0,0.00,0
2180664,161,154,186,408,560,1279,3493,3259,4500,569,0,0,0.00,0
2268555,161,155,187,411,568,1288,3508,3273,4500,572,0,0,0.00,0
2356445,162,156,188,416,573,1297,3520,3279,4500,571,0,0,0.00,0
2444336,162,156,189,420,583,1310,3546,3312,4500,619,0,0,0.00,0
2532226,165,159,192,425,586,1318,3542,3294,4500,579,0,0,0.00,0
2615234,162,157,190,424,571,1277,3471,3244,4500,562,0,0,0.00,0
2702148,160,154,185,407,552,1252,3457,3256,4500,560,0,0,0.00,0
2792969,159,153,184,401,551,1251,3464,3263,4500,603,0,0,0.00,0
2875976,161,154,184,401,548,1251,3446,3234,4500,559,0,0,0.00,0
2963867,159,153,183,399,545,1245,3455,3256,4500,601,0,0,0.00,0
3050781,160,154,184,399,546,1249,3453,3240,4500,559,0,0,0.00,0
3132812,160,153,184,401,552,1260,3465,3248,4500,564,0,0,0.00,0
3220703,160,154,184,404,555,1264,3473,3252,4500,566,0,0,0.00,0
3308594,160,154,186,407,559,1273,3482,3258,4500,567,0,0,0.00,0
3391601,161,155,186,410,566,1279,3489,3258,4500,568,0,0,0.00,0
3483398,162,156,188,414,571,1289,3515,3290,4500,599,0,0,0.00,0
3571289,163,157,189,419,576,1296,3514,3274,4500,571,0,0,0.00,0
3654297,162,156,188,420,572,1283,3476,3250,4500,563,0,0,0.00,0
3742187,160,154,185,407,551,1245,3436,3239,4500,556,0,0,0.00,0
3830078,159,153,183,399,547,1246,3439,3229,4500,557,0,0,0.00,0
3913086,159,153,184,400,548,1250,3445,3234,4500,558,0,0,0.00,0
4000976,159,153,183,399,542,1238,3430,3222,4500,556,0,0,0.00,0
4087890,159,152,182,396,543,1242,3435,3230,4500,559,0,0,0.00,0
4179687,159,152,183,400,550,1252,3454,3240,4500,559,0,0,0.00,0
4267578,160,153,184,403,554,1258,3461,3242,4500,563,0,0,0.00,0
4355469,159,154,185,405,557,1261,3464,3241,4500,565,0,0,0.00,0
4443359,161,155,187,409,562,1273,3486,3274,4500,575,0,0,0.00,0
4530273,162,156,188,413,568,1281,3489,3261,4500,570,0,0,0.00,0
4612305,161,155,187,415,573,1290,3498,3265,4500,572,0,0,0.00,0
4699219,162,156,189,419,571,1279,3477,3250,4500,566,0,0,0.00,0
4787109,158,152,183,404,541,1228,3403,3204,4500,551,0,0,0.00,0
4878906,157,151,180,391,532,1221,3405,3208,4500,552,0,0,0.00,0
4966797,157,150,180,389,529,1219,3404,3209,4500,551,0,0,0.00,0
5054687,156,150,180,387,526,1210,3391,3203,4500,588,0,0,0.00,0
5138672,157,151,180,384,525,1211,3409,3227,4500,590,0,0,0.00,0
5226562,157,151,180,385,528,1219,3411,3214,4500,555,0,0,0.00,0
5314453,157,151,181,389,535,1228,3428,3242,4500,597,0,0,0.00,0
5397461,158,152,183,391,537,1232,3435,3246,4500,557,0,0,0.00,0
5485351,160,152,182,394,542,1241,3437,3229,4500,582,0,0,0.00,0
5576172,159,153,183,398,547,1250,3446,3234,4500,561,0,0,0.00,0
5659180,159,153,184,402,555,1262,3463,3251,4500,607,0,0,0.00,0
5747070,159,154,185,405,559,1271,3473,3252,4500,566,0,0,0.00,0
5833984,159,154,184,406,550,1238,3415,3219,4500,593,0,0,0.00,0
5916992,158,151,180,389,524,1202,3374,3189,4500,546,0,0,0.00,0
6004883,155,149,178,383,521,1202,3380,3195,4500,587,0,0,0.00,0
6092773,156,151,179,382,518,1195,3384,3210,4500,547,0,0,0.00,0
6180664,155,149,177,378,512,1189,3363,3185,4500,543,0,0,0.00,0
6272461,156,150,178,378,515,1196,3387,3215,4500,546,0,0,0.00,0
6360351,156,149,178,381,519,1204,3388,3201,4500,548,0,0,0.00,0
6447265,156,150,179,383,524,1212,3392,3202,4500,552,0,0,0.00,0
6534180,157,150,179,384,528,1219,3404,3208,4500,595,0,0,0.00,0
6622070,158,152,181,390,533,1225,3420,3229,4500,555,0,0,0.00,0
6709961,159,152,182,393,540,1234,3424,3221,4500,556,0,0,0.00,0
6797851,158,152,182,396,545,1244,3435,3230,4500,561,0,0,0.00,0
6880859,159,152,183,400,553,1253,3447,3234,4500,577,0,0,0.00,0
6972656,159,154,184,404,546,1232,3408,3223,4500,557,0,0,0.00,0
7060547,155,150,178,387,521,1190,3353,3175,4500,545,0,0,0.00,0
7143555,154,149,177,378,516,1190,3355,3178,4500,543,0,0,0.00,0
7230469,156,150,178,380,514,1190,3353,3176,4500,543,0,0,0.00,0
7318359,154,148,176,376,509,1178,3341,3167,4500,541,0,0,0.00,0
7400390,154,148,176,374,510,1183,3347,3176,4500,544,0,0,0.00,0
7488281,155,148,176,376,515,1190,3360,3182,4500,546,0,0,0.00,0
7575195,155,149,178,380,519,1199,3367,3186,4500,549,0,0,0.00,0
7661133,155,149,178,382,521,1204,3374,3190,4500,549,0,0,0.00,0
7749023,157,150,179,385,527,1209,3388,3199,4500,550,0,0,0.00,0
7835937,157,150,179,389,534,1222,3399,3204,4500,554,0,0,0.00,0
7918945,157,152,181,392,541,1231,3423,3238,4500,600,0,0,0.00,0
8006836,158,152,182,396,542,1229,3407,3207,4500,554,0,0,0.00,0
8094726,156,149,178,386,516,1180,3325,3157,4500,577,0,0,0.00,0
8182617,154,148,175,374,506,1173,3337,3183,4500,540,0,0,0.00,0
8270508,154,148,176,374,505,1171,3329,3162,4500,542,0,0,0.00,0
8362305,154,148,176,371,502,1164,3327,3175,4500,537,0,0,0.00,0
8450195,153,147,174,368,501,1165,3327,3160,4500,541,0,0,0.00,0
8538086,153,148,175,370,504,1174,3335,3168,4500,543,0,0,0.00,0
8625976,154,148,176,374,510,1182,3347,3171,4500,542,0,0,0.00,0
8712890,154,148,176,376,516,1189,3361,3200,4500,588,0,0,0.00,0
86914,153,146,173,367,500,1163,3318,3156,4500,537,0,0,0.00,0
178711,154,148,175,371,506,1173,3332,3163,4500,542,0,0,0.00,0
266602,154,148,176,375,512,1184,3344,3171,4500,543,0,0,0.00,0
359375,155,149,177,380,520,1193,3360,3181,4500,546,0,0,0.00,0
446289,155,149,178,384,526,1205,3375,3189,4500,550,0,0,0.00,0
534180,155,149,178,384,512,1171,3312,3149,4500,572,0,0,0.00,0
622070,153,147,174,365,493,1150,3312,3169,4500,552,0,0,0.00,0
709961,153,147,174,361,484,1140,3306,3154,4500,532,0,0,0.00,0
797852,151,146,172,355,476,1130,3295,3147,4500,530,0,0,0.00,0
879883,151,145,170,349,472,1119,3288,3148,4500,530,0,0,0.00,0
967773,151,145,170,348,470,1124,3296,3154,4500,532,0,0,0.00,0
1055664,152,146,170,349,474,1131,3306,3158,4500,531,0,0,0.00,0
1148438,153,146,171,353,478,1136,3310,3159,4500,533,0,0,0.00,0
1236328,153,146,172,354,479,1140,3316,3164,4500,534,0,0,0.00,0
1324219,152,146,172,357,485,1150,3331,3174,4500,576,0,0,0.00,0
1406250,153,148,174,360,490,1157,3351,3201,4500,540,0,0,0.00,0
1493164,154,148,174,364,495,1164,3350,3181,4500,581,0,0,0.00,0
1581055,155,149,176,368,499,1173,3362,3193,4500,541,0,0,0.00,0
1667969,155,149,176,370,493,1150,3312,3159,4500,535,0,0,0.00,0
1754883,150,144,170,350,465,1111,3262,3132,4500,528,0,0,0.00,0
1847656,150,144,169,344,466,1110,3272,3136,4500,528,0,0,0.00,0
1935547,150,144,169,344,461,1108,3267,3134,4500,526,0,0,0.00,0
2023438,149,143,168,341,459,1101,3267,3148,4500,563,0,0,0.00,0
2110352,150,144,168,340,459,1105,3277,3147,4500,529,0,0,0.00,0
2198242,151,145,169,343,463,1115,3282,3142,4500,528,0,0,0.00,0
2286133,150,144,169,345,467,1118,3285,3146,4500,528,0,0,0.00,0
2373047,151,145,170,348,470,1127,3292,3150,4500,571,0,0,0.00,0
2460938,154,147,172,352,477,1132,3312,3164,4500,533,0,0,0.00,0
2553711,152,146,172,355,482,1144,3318,3167,4500,574,0,0,0.00,0
2636719,152,147,173,359,488,1152,3342,3193,4500,541,0,0,0.00,0
2723633,154,147,173,363,492,1156,3327,3166,4500,575,0,0,0.00,0
2811523,151,145,170,354,465,1102,3255,3137,4500,523,0,0,0.00,0
2894531,150,143,167,338,455,1095,3246,3120,4500,523,0,0,0.00,0
2982422,149,143,167,338,459,1099,3261,3145,4500,560,0,0,0.00,0
3069336,150,145,168,338,455,1090,3243,3119,4500,521,0,0,0.00,0
3151367,149,142,166,335,452,1091,3244,3116,4500,521,0,0,0.00,0
3243164,150,143,167,338,459,1105,3273,3154,4500,560,0,0,0.00,0
3331055,150,145,169,343,464,1110,3268,3135,4500,526,0,0,0.00,0
3418945,150,144,169,344,466,1110,3259,3124,4500,527,0,0,0.00,0
3506836,150,144,169,347,474,1128,3292,3149,4500,531,0,0,0.00,0
3595703,151,146,171,352,477,1136,3306,3152,4500,534,0,0,0.00,0
3682617,152,146,172,357,486,1149,3322,3171,4500,576,0,0,0.00,0
3770508,154,148,174,363,490,1151,3320,3164,4500,536,0,0,0.00,0
3859375,150,144,170,353,460,1097,3226,3104,4500,518,0,0,0.00,0
3951172,149,142,166,334,447,1078,3223,3120,4500,527,0,0,0.00,0
4038086,148,142,165,331,444,1074,3210,3095,4500,513,0,0,0.00,0
4125977,147,141,165,330,442,1072,3210,3094,4500,516,0,0,0.00,0
4213867,147,141,164,328,443,1071,3214,3096,4500,550,0,0,0.00,0
4302734,149,142,165,330,448,1083,3235,3129,4500,554,0,0,0.00,0
4386719,149,143,167,335,455,1095,3254,3138,4500,521,0,0,0.00,0
4474609,148,143,167,338,457,1097,3245,3119,4500,540,0,0,0.00,0
4562500,149,143,168,340,465,1109,3271,3148,4500,564,0,0,0.00,0
4650391,150,144,169,345,469,1120,3275,3136,4500,529,0,0,0.00,0
4738281,150,145,170,350,474,1129,3289,3146,4500,531,0,0,0.00,0
4826172,151,145,171,354,480,1137,3299,3153,4500,533,0,0,0.00,0
4910156,151,145,171,357,474,1116,3253,3119,4500,526,0,0,0.00,0
4998047,148,141,165,338,447,1069,3189,3079,4500,511,0,0,0.00,0
5084961,146,141,164,330,445,1071,3199,3089,4500,514,0,0,0.00,0
5172852,147,141,165,330,446,1075,3216,3116,4500,549,0,0,0.00,0
5260742,148,142,165,330,443,1070,3204,3093,4500,514,0,0,0.00,0
5353516,147,142,164,330,448,1078,3218,3107,4500,550,0,0,0.00,0
5441406,149,142,166,334,453,1086,3237,3127,4500,522,0,0,0.00,0
5529297,149,143,167,338,457,1094,3237,3111,4500,520,0,0,0.00,0
5618164,149,143,167,341,461,1102,3241,3115,4500,521,0,0,0.00,0
5706055,149,143,168,344,468,1110,3257,3126,4500,526,0,0,0.00,0
5794922,150,144,169,349,473,1122,3269,3135,4500,528,0,0,0.00,0
5877930,150,145,171,352,481,1132,3296,3165,4500,569,0,0,0.00,0
5965820,150,144,170,354,467,1101,3226,3100,4500,521,0,0,0.00,0
6057617,147,141,165,335,448,1074,3200,3086,4500,515,0,0,0.00,0
6140625,147,141,165,332,452,1079,3213,3094,4500,516,0,0,0.00,0
6228516,148,142,166,335,451,1081,3215,3094,4500,517,0,0,0.00,0
6317383,148,141,164,333,449,1075,3203,3089,4500,516,0,0,0.00,0
6400391,147,142,165,333,452,1085,3224,3104,4500,519,0,0,0.00,0
6488281,148,142,166,337,457,1096,3238,3113,4500,520,0,0,0.00,0
6576172,148,143,167,341,463,1105,3246,3117,4500,523,0,0,0.00,0
6664063,150,143,168,345,468,1113,3257,3123,4500,561,0,0,0.00,0
6756836,150,144,169,348,472,1122,3270,3133,4500,527,0,0,0.00,0
6844727,151,145,171,353,480,1130,3277,3135,4500,529,0,0,0.00,0
6931641,149,142,168,348,461,1089,3216,3109,4500,553,0,0,0.00,0
7019531,148,142,166,335,450,1078,3207,3092,4500,516,0,0,0.00,0
7107422,148,141,165,334,454,1086,3217,3097,4500,518,0,0,0.00,0
7195313,148,142,165,337,452,1082,3210,3091,4500,515,0,0,0.00,0
7283203,148,141,165,334,452,1082,3218,3102,4500,556,0,0,0.00,0
7366211,149,143,167,337,458,1094,3233,3123,4500,520,0,0,0.00,0
7458984,149,143,167,341,463,1102,3237,3109,4500,521,0,0,0.00,0
7546875,149,144,168,344,465,1105,3242,3110,4500,524,0,0,0.00,0
7629883,149,143,168,347,468,1111,3250,3117,4500,525,0,0,0.00,0
7717773,151,144,170,350,475,1122,3261,3123,4500,527,0,0,0.00,0
7805664,149,143,168,348,459,1086,3200,3079,4500,514,0,0,0.00,0
7888672,146,140,164,332,445,1071,3186,3077,4500,546,0,0,0.00,0
7976563,146,140,164,331,447,1075,3190,3080,4500,512,0,0,0.00,0
8064453,147,141,164,332,447,1073,3192,3079,4500,513,0,0,0.00,0
8153320,146,140,164,329,444,1071,3188,3076,4500,514,0,0,0.00,0
8241211,147,141,165,332,449,1078,3215,3108,4500,518,0,0,0.00,0
8329102,148,142,167,337,455,1089,3219,3096,4500,519,0,0,0.00,0
8416016,149,143,166,339,459,1097,3224,3095,4500,519,0,0,0.00,0
8503906,149,143,167,342,465,1104,3235,3104,4500,557,0,0,0.00,0
8591797,151,143,168,345,470,1114,3256,3135,4500,561,0,0,0.00,0
8679688,150,145,169,350,461,1092,3201,3082,4500,517,0,0,0.00,0
8767578,147,140,163,331,438,1059,3165,3060,4500,509,0,0,0.00,0
87891,146,139,162,325,434,1052,3157,3055,4500,506,0,0,0.00,0
180664,145,139,162,324,433,1051,3157,3053,4500,511,0,0,0.00,0
268555,144,139,161,322,433,1048,3156,3056,4500,508,0,0,0.00,0
356446,144,140,162,323,434,1058,3168,3062,4500,509,0,0,0.00,0
444336,145,140,163,327,443,1069,3195,3095,4500,547,0,0,0.00,0
532227,147,141,164,332,447,1078,3197,3084,4500,515,0,0,0.00,0
620118,147,142,165,335,453,1085,3205,3086,4500,515,0,0,0.00,0
712891,148,143,167,339,459,1098,3230,3115,4500,519,0,0,0.00,0
800782,149,143,168,344,464,1106,3232,3101,4500,522,0,0,0.00,0
888672,150,143,168,348,472,1118,3246,3111,4500,526,0,0,0.00,0
976563,150,144,169,353,477,1126,3258,3116,4500,526,0,0,0.00,0
1059571,148,143,168,350,463,1093,3201,3091,4500,547,0,0,0.00,0
1147461,146,140,164,336,451,1078,3182,3069,4500,512,0,0,0.00,0
1235352,146,140,164,335,449,1078,3184,3070,4500,545,0,0,0.00,0
1317383,148,141,165,335,449,1077,3195,3093,4500,515,0,0,0.00,0
1405274,146,140,164,333,448,1073,3186,3070,4500,544,0,0,0.00,0
1498047,146,141,165,335,451,1085,3201,3079,4500,513,0,0,0.00,0
1580079,147,142,166,338,457,1092,3214,3089,4500,533,0,0,0.00,0
1667969,147,142,166,341,462,1101,3217,3089,4500,518,0,0,0.00,0
1755860,149,142,168,345,465,1107,3231,3097,4500,519,0,0,0.00,0
1838868,148,143,168,349,474,1119,3250,3128,4500,559,0,0,0.00,0
1927735,149,144,169,353,479,1128,3255,3116,4500,525,0,0,0.00,0
2015625,151,144,171,358,484,1136,3264,3122,4500,559,0,0,0.00,0
2102539,151,145,171,361,492,1147,3290,3152,4500,554,0,0,0.00,0
2195313,151,145,172,364,489,1133,3247,3106,4500,559,0,0,0.00,0
2283204,149,143,168,353,471,1104,3218,3105,4500,525,0,0,0.00,0
2371094,149,143,168,347,466,1102,3215,3090,4500,517,0,0,0.00,0
2459961,148,142,167,345,465,1102,3215,3089,4500,517,0,0,0.00,0
2546875,148,142,167,344,463,1096,3210,3084,4500,516,0,0,0.00,0
2635743,148,143,167,343,464,1102,3222,3095,4500,543,0,0,0.00,0
2722657,148,142,167,345,469,1111,3244,3121,4500,550,0,0,0.00,0
2809571,149,143,169,349,474,1115,3239,3106,4500,522,0,0,0.00,0
2902344,150,145,170,353,479,1123,3253,3127,4500,526,0,0,0.00,0
2990235,150,145,170,354,481,1130,3261,3120,4500,527,0,0,0.00,0
3074219,150,145,171,358,486,1138,3273,3128,4500,530,0,0,0.00,0
3162110,152,146,173,363,492,1146,3283,3136,4500,533,0,0,0.00,0
3250977,152,147,173,366,496,1154,3292,3137,4500,535,0,0,0.00,0
3333008,151,144,171,362,479,1116,3227,3093,4500,525,0,0,0.00,0
3420899,149,143,168,349,469,1104,3227,3097,4500,521,0,0,0.00,0
3508789,148,143,168,347,469,1108,3238,3102,4500,524,0,0,0.00,0
3601563,151,144,168,349,468,1106,3229,3100,4500,522,0,0,0.00,0
3689454,148,142,168,345,466,1104,3231,3101,4500,522,0,0,0.00,0
3777344,149,143,168,346,469,1113,3250,3115,4500,524,0,0,0.00,0
3865235,151,143,169,350,474,1121,3259,3119,4500,563,0,0,0.00,0
3953125,151,145,170,354,479,1127,3277,3144,4500,536,0,0,0.00,0
4041016,152,146,171,356,480,1131,3276,3128,4500,528,0,0,0.00,0
4128907,151,145,171,358,486,1140,3287,3137,4500,530,0,0,0.00,0
4216797,152,145,172,361,492,1149,3301,3145,4500,535,0,0,0.00,0
4309571,152,146,173,367,498,1158,3310,3147,4500,537,0,0,0.00,0
4397461,151,145,172,363,479,1120,3249,3109,4500,522,0,0,0.00,0
4484375,148,143,168,346,465,1104,3234,3104,4500,555,0,0,0.00,0
4567383,149,144,169,345,464,1103,3243,3116,4500,522,0,0,0.00,0
4655274,149,143,168,344,463,1101,3234,3108,4500,553,0,0,0.00,0
4742188,148,144,167,341,459,1096,3243,3124,4500,519,0,0,0.00,0
4825196,149,143,168,343,463,1104,3244,3114,4500,522,0,0,0.00,0
4912110,150,144,169,346,468,1112,3271,3143,4500,526,0,0,0.00,0
5004883,151,144,169,348,470,1120,3265,3127,4500,561,0,0,0.00,0
5087891,151,145,170,351,475,1125,3285,3151,4500,529,0,0,0.00,0
5175782,151,145,170,353,479,1132,3286,3140,4500,543,0,0,0.00,0
5263672,151,145,171,358,486,1144,3306,3166,4500,569,0,0,0.00,0
5351563,153,148,173,363,491,1152,3310,3155,4500,537,0,0,0.00,0
5439454,153,146,174,366,492,1148,3298,3141,4500,532,0,0,0.00,0
5527344,149,144,169,353,464,1101,3234,3102,4500,521,0,0,0.00,0
5615235,148,143,167,341,460,1095,3233,3109,4500,553,0,0,0.00,0
5708008,149,143,167,340,458,1094,3236,3108,4500,518,0,0,0.00,0
5795899,148,143,167,339,454,1089,3227,3101,4500,522,0,0,0.00,0
5883789,149,142,166,337,455,1092,3244,3130,4500,556,0,0,0.00,0
5970704,149,144,168,341,461,1100,3247,3116,4500,522,0,0,0.00,0
6058594,149,143,168,342,464,1108,3256,3120,4500,525,0,0,0.00,0
6146485,149,144,168,345,467,1110,3261,3123,4500,526,0,0,0.00,0
6234375,151,144,169,347,471,1120,3278,3146,4500,564,0,0,0.00,0
6318360,151,145,171,352,476,1127,3296,3163,4500,546,0,0,0.00,0
6411133,153,146,172,356,482,1137,3297,3146,4500,532,0,0,0.00,0
6499024,152,146,172,358,486,1142,3304,3149,4500,533,0,0,0.00,0
6582032,151,145,170,355,467,1106,3241,3109,4500,522,0,0,0.00,0
6670899,148,142,166,338,452,1082,3225,3101,4500,519,0,0,0.00,0
6758789,149,142,166,335,451,1085,3229,3106,4500,521,0,0,0.00,0
6840821,148,142,166,334,449,1083,3224,3103,4500,519,0,0,0.00,0
6928711,148,141,165,331,445,1079,3223,3102,4500,517,0,0,0.00,0
7016602,148,142,165,332,449,1083,3233,3110,4500,519,0,0,0.00,0
7109375,148,143,166,336,454,1094,3246,3116,4500,520,0,0,0.00,0
7196289,149,143,167,339,458,1101,3252,3120,4500,522,0,0,0.00,0
7284180,149,143,168,340,462,1110,3274,3148,4500,560,0,0,0.00,0
7371094,151,145,169,345,466,1115,3274,3136,4500,525,0,0,0.00,0
7458985,150,145,170,347,470,1125,3288,3142,4500,529,0,0,0.00,0
7547852,152,144,171,351,475,1131,3300,3148,4500,532,0,0,0.00,0
7635743,151,145,171,355,478,1132,3289,3142,4500,539,0,0,0.00,0
7722657,149,143,167,342,453,1085,3231,3122,4500,547,0,0,0.00,0
7820313,149,142,166,330,444,1077,3228,3105,4500,518,0,0,0.00,0
7908204,147,142,165,330,443,1079,3231,3105,4500,516,0,0,0.00,0
7996094,147,142,165,328,441,1073,3223,3101,4500,517,0,0,0.00,0
8079102,147,142,164,327,443,1078,3237,3128,4500,553,0,0,0.00,0
8166993,149,142,165,331,447,1086,3243,3114,4500,518,53,0,0.00,83
8253907,148,143,166,334,451,1093,3255,3123,4500,558,53,0,0.00,83
8336914,151,145,168,338,454,1098,3260,3126,4500,522,53,0,0.00,83
8532227,151,146,170,345,467,1121,3295,3157,4500,530,53,0,0.00,83
8621094,152,145,170,348,470,1126,3299,3149,4500,532,53,0,0.00,83
8708985,151,145,170,352,475,1131,3300,3151,4500,532,53,0,0.00,83
8791016,149,143,168,345,451,1087,3231,3106,4500,517,53,0,0.00,83
8878907,147,141,164,328,439,1073,3226,3102,4500,517,53,0,0.00,83
87891,147,142,164,326,438,1073,3224,3103,4500,514,0,0,0.00,0
180664,147,142,165,327,439,1073,3223,3104,4500,514,0,0,0.00,0
268555,148,141,163,324,436,1067,3217,3101,4500,515,0,0,0.00,0
361328,149,142,165,325,436,1075,3229,3108,4500,515,0,0,0.00,0
449219,147,142,165,328,444,1084,3243,3117,4500,521,0,0,0.00,0
537109,149,143,166,332,446,1090,3253,3123,4500,524,0,0,0.00,0
621094,149,143,166,334,449,1097,3261,3122,4500,522,0,0,0.00,0
708984,149,143,167,337,455,1105,3271,3132,4500,524,0,0,0.00,0
796875,150,144,168,341,461,1116,3283,3138,4500,525,0,0,0.00,0
879883,150,146,169,344,467,1125,3299,3157,4500,565,0,0,0.00,0
967773,151,145,170,347,472,1130,3300,3151,4500,533,0,0,0.00,0
1060547,151,146,170,349,461,1105,3257,3117,4500,521,0,0,0.00,0
1142578,147,141,165,332,441,1074,3223,3103,4500,513,0,0,0.00,0
1230469,149,142,165,330,444,1079,3233,3109,4500,519,0,0,0.00,0
1318359,148,143,165,330,445,1079,3229,3106,4500,519,0,0,0.00,0
1401367,148,142,164,328,440,1074,3226,3105,4500,516,0,0,0.00,0
1489258,149,141,164,328,444,1082,3237,3111,4500,520,0,0,0.00,0
1577148,148,142,166,332,449,1092,3254,3121,4500,522,0,0,0.00,0
1660156,148,143,167,335,454,1099,3258,3125,4500,555,0,0,0.00,0
1751953,150,144,167,338,457,1103,3275,3147,4500,523,0,0,0.00,0
1839844,151,144,168,341,462,1114,3279,3137,4500,525,0,0,0.00,0
1928711,150,145,169,344,465,1119,3286,3141,4500,527,0,0,0.00,0
2016601,151,145,170,348,472,1127,3297,3148,4500,530,0,0,0.00,0
2104492,150,144,169,346,458,1096,3246,3124,4500,552,0,0,0.00,0
