time,415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
86914,146,141,161,310,412,991,3192,3148,4500,531,0,0,0.00,0
178711,146,141,161,307,403,979,3178,3146,4500,525,0,0,0.00,0
266601,145,140,159,303,402,976,3173,3135,4500,527,0,0,0.00,0
354492,145,139,159,303,403,979,3174,3141,4500,527,0,0,0.00,0
442382,145,139,159,303,404,979,3172,3138,4500,546,0,0,0.00,0
530273,145,139,159,303,406,981,3190,3170,4500,570,0,0,0.00,0
612304,147,142,161,306,406,983,3183,3143,4500,529,0,0,0.00,0
699218,146,141,161,308,411,989,3204,3178,4500,549,0,0,0.00,0
791015,145,140,160,308,415,994,3211,3181,4500,573,0,0,0.00,0
874023,147,142,162,312,411,985,3181,3146,4500,526,0,0,0.00,0
961914,144,139,159,306,406,980,3173,3135,4500,566,0,0,0.00,0
1049804,145,140,159,305,406,979,3188,3169,4500,528,0,0,0.00,0
1132812,146,142,161,308,406,979,3172,3133,4500,527,0,0,0.00,0
1220703,145,140,159,306,410,980,3187,3167,4500,568,0,0,0.00,0
1308593,146,141,161,308,409,981,3181,3152,4500,529,0,0,0.00,0
1391601,146,141,161,309,412,987,3187,3147,4500,529,0,0,0.00,0
1483398,146,141,160,311,415,994,3196,3154,4500,529,0,0,0.00,0
1570312,146,141,162,313,421,998,3225,3194,4500,577,0,0,0.00,0
1653320,149,143,163,316,422,1005,3229,3177,4500,534,0,0,0.00,0
1740234,148,143,163,317,429,1012,3254,3213,4500,586,0,0,0.00,0
1827148,150,144,164,320,423,1001,3215,3167,4500,530,0,0,0.00,0
1910156,146,141,161,312,416,991,3202,3159,4500,528,0,0,0.00,0
1998047,148,143,162,312,414,987,3197,3159,4500,530,0,0,0.00,0
2085937,146,141,161,309,411,985,3193,3154,4500,527,0,0,0.00,0
2177734,146,142,161,309,407,980,3189,3151,4500,530,0,0,0.00,0
2264648,145,140,160,307,408,983,3190,3152,4500,531,0,0,0.00,0
2351562,145,140,160,308,411,985,3191,3151,4500,552,0,0,0.00,0
2439453,146,142,161,310,412,988,3208,3176,4500,533,0,0,0.00,0
2527343,146,141,161,311,413,989,3199,3145,4500,536,0,0,0.00,0
2610351,146,140,161,309,411,984,3189,3140,4500,533,0,0,0.00,0
2698242,146,141,162,309,409,981,3186,3134,4500,536,0,0,0.00,0
2785156,146,139,160,307,408,974,3177,3127,4500,537,0,0,0.00,0
2872070,144,139,160,304,401,946,3125,3089,4500,531,0,0,0.00,0
2959961,142,135,156,292,386,916,3086,3084,4500,550,0,0,0.00,0
3046875,141,136,154,286,377,905,3060,3052,4500,521,0,0,0.00,0
3128906,139,135,153,283,377,911,3072,3065,4500,517,0,0,0.00,0
3215820,141,136,154,284,377,922,3098,3087,4500,519,0,0,0.00,0
3303711,142,137,155,287,382,944,3140,3117,4500,521,0,0,0.00,0
3387695,143,139,157,293,392,963,3171,3136,4500,526,0,0,0.00,0
3475586,144,139,158,298,399,974,3188,3144,4500,528,0,0,0.00,0
3566406,146,141,160,304,405,984,3199,3153,4500,527,0,0,0.00,0
3649414,147,141,160,307,412,993,3210,3159,4500,529,0,0,0.00,0
3737304,148,142,162,312,416,999,3213,3162,4500,530,0,0,0.00,0
3825195,147,142,162,315,422,1009,3226,3165,4500,532,0,0,0.00,0
3907226,146,142,162,317,422,997,3195,3146,4500,526,0,0,0.00,0
3995117,146,140,160,313,415,986,3179,3140,4500,521,0,0,0.00,0
4083007,146,140,160,312,416,987,3180,3142,4500,528,0,0,0.00,0
4166015,145,140,160,312,420,989,3193,3170,4500,569,0,0,0.00,0
4257812,146,141,161,314,417,984,3174,3138,4500,524,0,0,0.00,0
4345703,145,140,160,312,415,978,3161,3128,4500,523,0,0,0.00,0
4433593,144,139,160,313,419,983,3164,3131,4500,525,0,0,0.00,0
4521484,145,140,159,314,422,985,3161,3130,4500,567,0,0,0.00,0
4609375,145,141,161,317,424,986,3176,3158,4500,528,0,0,0.00,0
4697265,145,141,161,318,426,990,3171,3132,4500,528,0,0,0.00,0
4785156,145,139,160,318,420,974,3129,3106,4500,519,0,0,0.00,0
4867187,144,138,158,310,415,960,3118,3100,4500,518,0,0,0.00,0
4958984,145,139,159,310,415,961,3132,3127,4500,519,0,0,0.00,0
5046875,145,139,158,309,413,959,3112,3097,4500,520,0,0,0.00,0
5129882,142,138,158,308,412,956,3110,3093,4500,520,0,0,0.00,0
5217773,144,139,159,309,413,961,3115,3093,4500,518,0,0,0.00,0
5305664,143,138,158,309,415,970,3125,3094,4500,520,0,0,0.00,0
5388672,144,138,159,313,419,980,3141,3100,4500,522,0,0,0.00,0
5476562,145,139,160,314,418,977,3139,3104,4500,523,0,0,0.00,0
5564453,143,138,159,310,418,976,3148,3115,4500,528,0,0,0.00,0
5651367,145,139,159,311,415,970,3152,3127,4500,525,0,0,0.00,0
5739257,143,139,159,306,406,958,3155,3153,4500,527,0,0,0.00,0
5827148,145,140,159,304,404,961,3162,3135,4500,534,0,0,0.00,0
5909179,145,139,159,302,404,958,3163,3130,4500,536,0,0,0.00,0
5997070,145,138,159,301,396,939,3131,3104,4500,533,0,0,0.00,0
6084961,143,137,156,295,390,935,3129,3110,4500,531,0,0,0.00,0
6172851,145,139,158,299,403,977,3206,3163,4500,545,0,0,0.00,0
6260742,148,142,162,306,414,996,3244,3209,4500,582,0,0,0.00,0
6348632,150,144,164,315,424,1008,3253,3208,4500,543,0,0,0.00,0
6440429,148,142,163,319,433,1010,3247,3216,4500,585,0,0,0.00,0
6528320,151,146,167,327,442,1023,3242,3194,4500,541,0,0,0.00,0
6616211,150,144,165,330,445,1025,3248,3187,4500,544,0,0,0.00,0
6704101,149,144,166,332,437,1019,3239,3171,4500,540,0,0,0.00,0
6791015,146,140,161,316,425,1014,3234,3168,4500,587,0,0,0.00,0
6874023,149,144,165,319,428,1029,3265,3199,4500,546,0,0,0.00,0
6961914,148,143,164,321,433,1041,3267,3176,4500,593,0,0,0.00,0
7048828,151,145,167,324,433,1041,3283,3212,4500,544,0,0,0.00,0
7135742,147,141,162,317,429,1036,3283,3220,4500,592,0,0,0.00,0
7223632,146,141,162,316,424,1020,3262,3189,4500,546,0,0,0.00,0
7311523,148,142,163,316,422,1006,3246,3180,4500,596,0,0,0.00,0
7395507,150,144,164,316,419,1006,3250,3205,4500,593,0,0,0.00,0
7483398,149,144,164,316,422,1015,3258,3188,4500,550,0,0,0.00,0
7571289,149,144,165,319,425,1020,3264,3188,4500,591,0,0,0.00,0
7654297,147,143,164,319,427,1012,3252,3198,4500,553,0,0,0.00,0
7742187,144,138,160,310,412,981,3178,3128,4500,573,0,0,0.00,0
7833984,146,141,161,306,408,987,3201,3148,4500,535,0,0,0.00,0
7916992,146,141,160,307,411,994,3213,3155,4500,578,0,0,0.00,0
8004882,148,141,162,310,410,992,3213,3157,4500,529,0,0,0.00,0
8092773,145,139,159,307,411,995,3218,3162,4500,537,0,0,0.00,0
8180664,146,141,161,309,418,1001,3241,3198,4500,594,0,0,0.00,0
8268554,150,146,166,315,417,1002,3235,3171,4500,537,0,0,0.00,0
8356445,147,141,161,313,420,1009,3242,3179,4500,540,0,0,0.00,0
8443359,148,142,163,317,426,1019,3255,3180,4500,545,0,0,0.00,0
8534179,151,145,166,323,428,1016,3237,3168,4500,540,0,0,0.00,0
8618164,146,140,161,315,419,1000,3203,3144,4500,533,0,0,0.00,0
8705078,145,140,160,312,416,994,3198,3138,4500,531,0,0,0.00,0
87891,139,134,152,286,388,943,3126,3105,4500,564,0,0,0.00,0
179687,143,138,156,295,395,957,3146,3115,4500,529,0,0,0.00,0
266601,144,140,159,299,395,954,3129,3103,4500,555,0,0,0.00,0
354492,140,135,152,289,381,926,3080,3072,4500,511,0,0,0.00,0
442383,140,137,153,286,378,920,3072,3064,4500,515,0,0,0.00,0
534180,143,138,155,287,378,915,3066,3060,4500,503,0,0,0.00,0
617187,137,133,150,283,380,915,3063,3059,4500,510,0,0,0.00,0
705078,138,134,151,284,381,921,3081,3089,4500,514,0,0,0.00,0
792969,141,136,154,289,386,929,3086,3075,4500,521,0,0,0.00,0
875976,143,137,156,292,390,935,3094,3082,4500,517,0,0,0.00,0
963867,145,140,157,296,394,944,3106,3089,4500,520,0,0,0.00,0
1051758,142,137,156,296,394,945,3111,3086,4500,515,0,0,0.00,0
1134766,139,134,152,291,385,922,3064,3057,4500,513,0,0,0.00,0
1226562,139,135,152,286,384,919,3076,3085,4500,560,0,0,0.00,0
1314453,143,138,156,289,384,921,3073,3065,4500,513,0,0,0.00,0
1397461,141,135,154,289,383,924,3079,3066,4500,510,0,0,0.00,0
1485351,141,136,155,291,386,932,3096,3098,4500,507,0,0,0.00,0
1573242,140,136,154,293,392,944,3106,3081,4500,515,0,0,0.00,0
1656250,142,137,155,297,400,957,3125,3094,4500,529,0,0,0.00,0
1743164,144,140,159,303,406,968,3139,3102,4500,531,0,0,0.00,0
1831055,146,141,159,307,410,977,3152,3111,4500,528,0,0,0.00,0
1922851,142,137,157,306,406,969,3127,3091,4500,521,0,0,0.00,0
2011719,142,137,157,303,405,965,3124,3093,4500,531,0,0,0.00,0
2099609,145,140,159,306,403,967,3134,3092,4500,516,0,0,0.00,0
2187500,141,136,156,304,406,974,3137,3100,4500,564,0,0,0.00,0
2275391,145,138,158,307,411,978,3160,3134,4500,526,0,0,0.00,0
2362305,145,140,159,310,416,988,3161,3112,4500,535,0,0,0.00,0
2450195,147,142,162,315,416,991,3168,3114,4500,521,0,0,0.00,0
2537109,142,138,158,313,424,1003,3184,3124,4500,570,0,0,0.00,0
2624023,146,140,162,318,429,1014,3196,3131,4500,542,0,0,0.00,0
