415,445,480,515,555,590,630,680,Clear,NIR,Heartrate,Oxygen,R,Confidence
4,4,4,5,6,16,93,127,137,47,0,0,0.00,0
4,4,4,5,8,18,96,129,158,86,0,0,0.00,0
4,4,4,5,7,17,97,130,141,48,0,0,0.00,0
4,4,4,5,8,18,100,131,155,75,0,0,0.00,0
4,5,5,6,11,21,134,199,211,90,0,0,0.00,0
4,4,4,6,7,18,101,135,147,49,0,0,0.00,0
4,5,5,6,11,20,123,176,200,99,0,0,0.00,0
5,6,6,8,11,22,140,206,202,58,0,0,0.00,0
4,5,5,7,14,26,153,227,248,112,0,0,0.00,0
6,7,6,9,10,21,135,195,197,62,0,0,0.00,0
4,5,5,6,8,19,109,147,161,58,0,0,0.00,0
4,5,5,6,8,20,113,152,165,58,0,0,0.00,0
5,5,5,6,12,24,158,239,253,115,0,0,0.00,0
7,8,7,9,10,21,135,195,195,63,0,0,0.00,0
5,5,4,6,9,21,114,153,193,108,0,0,0.00,0
6,6,6,7,10,22,155,235,223,62,0,0,0.00,0
7,7,7,8,8,18,110,149,161,58,0,0,0.00,0
7,6,5,7,11,22,151,230,226,76,0,0,0.00,0
7,7,7,8,8,19,110,148,161,57,0,0,0.00,0
4,5,5,6,7,19,110,148,161,56,0,0,0.00,0
5,5,4,6,7,19,110,150,162,59,0,0,0.00,0
5,5,5,6,11,22,142,209,231,113,0,0,0.00,0
8,8,8,9,8,20,111,151,163,59,0,0,0.00,0
5,4,4,6,8,20,112,151,164,59,0,0,0.00,0
8,8,8,9,9,21,136,198,197,62,0,0,0.00,0
5,4,4,6,8,19,110,150,163,59,0,0,0.00,0
5,4,4,5,8,19,110,149,162,59,0,0,0.00,0
5,4,5,6,9,21,111,151,189,108,0,0,0.00,0
5,5,5,6,8,19,111,151,163,59,0,0,0.00,0
4,5,4,6,8,19,110,151,165,64,0,0,0.00,0
6,5,5,7,11,21,153,235,235,91,0,0,0.00,0
4,5,5,6,8,20,111,150,163,59,0,0,0.00,0
5,5,5,6,9,21,111,151,190,108,0,0,0.00,0
6,6,6,7,10,22,152,232,220,62,0,0,0.00,0
5,5,5,6,8,20,111,149,162,58,0,0,0.00,0
4,5,5,6,11,22,150,228,240,107,0,0,0.00,0
7,7,7,8,7,19,109,147,159,57,0,0,0.00,0
5,5,5,6,8,19,110,147,160,54,0,0,0.00,0
4,5,5,5,8,21,112,148,185,99,0,0,0.00,0
5,6,5,6,11,24,151,225,239,103,0,0,0.00,0
5,5,5,6,8,20,112,148,161,55,0,0,0.00,0
5,5,5,5,11,24,150,222,237,104,0,0,0.00,0
6,6,6,7,10,22,151,224,214,57,0,0,0.00,0
7,6,6,7,7,20,113,149,162,54,0,0,0.00,0
5,5,4,5,7,20,110,145,156,55,0,0,0.00,0
4,5,4,5,8,20,109,144,177,92,0,0,0.00,0
5,5,6,7,10,21,147,219,208,55,0,0,0.00,0
7,7,7,8,7,19,110,145,157,53,0,0,0.00,0
4,5,5,5,8,19,110,146,159,54,0,0,0.00,0
6,6,6,7,8,20,112,149,161,54,0,0,0.00,0
4,5,4,5,8,20,114,149,163,54,0,0,0.00,0
8,8,7,8,8,21,116,152,166,54,0,0,0.00,0
