Pulse Ox data file Pulse000.csv code file /Users/g-gollin/SuperWoodchuckie2/_medicine/pulse_oximeter_2024_code/run_pulse_oximeter_2024_v5/run_pulse_oximeter_2024_v5.ino
Code date/time of last compilation was Feb 15 2024 22:07:59  DS3231 RTC date and time are 2024/2/16 (Friday)   4:08:18. temperature: 23.00*C or 73.40*F
N,t (ms),NIR I,white I,pulse ox light I,white light I,pulse ox 415,pulse ox 445,pulse ox 480,pulse ox 515,pulse ox clear0,pulse ox NIR0,pulse ox 555,pulse ox 590,pulse ox 630,pulse ox 680,pulse ox clear,pulse ox NIR,skin color 415,skin color 445,skin color 480,skin color 515,skin color clear0,skin color NIR0,skin color 555,skin color 590,skin color 630,skin color 680,skin color clear,skin color NIR,magic date
1,47,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,79,115,182,366,0,0,0,0,0,0,2,5,35,64,60,3,9188
2,85,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,79,114,183,367,0,0,0,0,0,0,2,5,35,64,60,3,9188
3,122,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,108,176,369,0,0,0,0,0,0,2,5,35,64,60,3,9188
4,159,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,80,115,184,371,0,0,0,0,0,0,2,5,35,64,60,3,9188
5,201,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,79,115,184,372,0,0,0,0,0,0,2,5,35,64,60,3,9188
6,238,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,76,109,178,373,0,0,0,0,0,0,2,5,35,64,60,3,9188
7,276,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,79,114,184,374,0,0,0,0,0,0,2,5,35,64,60,3,9188
8,313,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,76,110,179,374,0,0,0,0,0,0,2,5,35,64,60,3,9188
9,350,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,79,114,185,376,0,0,0,0,0,0,2,5,35,64,60,3,9188
10,388,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,77,111,182,378,0,0,0,0,0,0,2,5,35,64,60,3,9188
11,430,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,74,107,176,367,0,0,0,0,0,0,2,5,35,64,60,3,9188
12,468,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,77,111,177,353,0,0,0,0,0,0,2,5,35,64,60,3,9188
13,505,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,71,104,168,346,0,0,0,0,0,0,2,5,35,64,60,3,9188
14,543,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,75,110,173,342,0,0,0,0,0,0,2,5,35,64,60,3,9188
15,580,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,71,104,167,343,0,0,0,0,0,0,2,5,35,64,60,3,9188
16,621,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,73,106,170,343,0,0,0,0,0,0,2,5,35,64,60,3,9188
17,658,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,109,174,345,0,0,0,0,0,0,2,5,35,64,60,3,9188
18,696,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,73,106,170,348,0,0,0,0,0,0,2,5,35,64,60,3,9188
19,733,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,74,108,173,347,0,0,0,0,0,0,2,5,35,64,60,3,9188
20,771,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,107,172,351,0,0,0,0,0,0,2,5,35,64,60,3,9188
21,808,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,109,175,352,0,0,0,0,0,0,2,5,35,64,60,3,9188
22,849,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,74,108,173,354,0,0,0,0,0,0,2,5,35,64,60,3,9188
23,887,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,110,176,357,0,0,0,0,0,0,2,5,35,64,60,3,9188
24,924,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,109,176,358,0,0,0,0,0,0,2,5,35,64,60,3,9188
25,961,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,77,112,179,360,0,0,0,0,0,0,2,5,35,64,60,3,9188
26,1153,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,77,110,182,380,0,0,0,0,0,0,2,5,35,64,60,3,9188
27,1190,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,108,177,371,0,0,0,0,0,0,2,5,35,64,60,3,9188
28,1231,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,72,105,171,352,0,0,0,0,0,0,2,5,35,64,60,3,9188
29,1269,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,111,175,347,0,0,0,0,0,0,2,5,35,64,60,3,9188
30,1306,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,71,104,168,346,0,0,0,0,0,0,2,5,35,64,60,3,9188
31,1344,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,76,111,176,346,0,0,0,0,0,0,2,5,35,64,60,3,9188
32,1381,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,72,105,169,348,0,0,0,0,0,0,2,5,35,64,60,3,9188
33,1422,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,76,111,177,351,0,0,0,0,0,0,2,5,35,64,60,3,9188
34,1459,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,76,111,176,354,0,0,0,0,0,0,2,5,35,64,60,3,9188
35,1497,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,72,105,171,352,0,0,0,0,0,0,2,5,35,64,60,3,9188
36,1534,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,76,111,177,354,0,0,0,0,0,0,2,5,35,64,60,3,9188
37,1572,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,107,173,355,0,0,0,0,0,0,2,5,35,64,60,3,9188
38,1609,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,76,111,178,358,0,0,0,0,0,0,2,5,35,64,60,3,9188
39,1650,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,110,177,361,0,0,0,0,0,0,2,5,35,64,60,3,9188
40,1687,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,109,176,362,0,0,0,0,0,0,2,5,35,64,60,3,9188
41,1725,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,76,110,178,365,0,0,0,0,0,0,2,5,35,64,60,3,9188
42,1762,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,76,111,178,364,0,0,0,0,0,0,2,5,35,64,60,3,9188
43,1799,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,109,178,366,0,0,0,0,0,0,2,5,35,64,60,3,9188
44,1837,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,77,112,180,369,0,0,0,0,0,0,2,5,35,64,60,3,9188
45,1878,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,77,113,182,372,0,0,0,0,0,0,2,5,35,64,60,3,9188
46,1915,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,74,107,177,369,0,0,0,0,0,0,2,5,35,64,60,3,9188
47,1953,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,76,111,177,357,0,0,0,0,0,0,2,5,35,64,60,3,9188
48,1990,9.749,-0.430,0,0,0,0,0,0,0,0,5,17,71,104,167,343,0,0,0,0,0,0,2,5,35,64,60,3,9188
49,2027,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,109,172,340,0,0,0,0,0,0,2,5,35,64,60,3,9188
50,2065,9.749,-0.430,0,0,0,0,0,0,0,0,5,16,70,102,166,340,0,0,0,0,0,0,2,5,35,64,60,3,9188
51,2255,9.749,-0.430,0,0,0,0,0,0,0,0,6,16,74,108,173,348,0,0,0,0,0,0,2,5,35,64,60,3,9188
52,2292,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,74,108,174,349,0,0,0,0,0,0,2,5,35,64,60,3,9188
53,2329,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,107,172,351,0,0,0,0,0,0,2,5,35,64,60,3,9188
54,2367,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,74,108,174,354,0,0,0,0,0,0,2,5,35,64,60,3,9188
55,2404,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,108,175,356,0,0,0,0,0,0,2,5,35,64,60,3,9188
56,2446,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,75,109,176,356,0,0,0,0,0,0,2,5,35,64,60,3,9188
57,2483,9.749,-0.430,0,0,0,0,0,0,0,0,6,17,73,107,174,360,0,0,0,0,0,0,2,5,35,64,60,3,9188
58,2520,9.749,-0.430,0,0,0,0,0,0,0,0,6,18,76,110,177,358,0,0,0,0,0,0,2,5,35,64,60,3,9188
